Date;Open;High;Low;Close;Adj Close;Volume
26/12/2000;1.479.167;1.494.792;1.307.292;1.401.042;1.285.179;34382400
27/12/2000;1.385.417;1.552.083;1.328.125;1.494.792;1.371.176;33945600
28/12/2000;1.434.896;1.541.667;1.411.458;1.502.604;1.378.342;41923200
29/12/2000;1.500.000;1.549.479;1.333.333;1.365.234;1.252.332;49516800
02/01/2001;1.375.000;1.393.229;1.242.188;1.247.396;1.144.239;29080800
03/01/2001;1.208.333;1.643.229;1.177.083;1.630.208;1.495.393;91036800
04/01/2001;1.601.563;1.859.375;1.557.292;1.817.708;1.667.387;81544800
05/01/2001;1.802.083;1.809.896;1.510.417;1.545.573;1.417.758;43276800
08/01/2001;1.502.604;1.760.417;1.502.604;1.692.708;1.552.725;57376800
09/01/2001;1.716.146;1.760.417;1.632.813;1.726.563;1.583.780;30290400
10/01/2001;1.638.021;1.854.167;1.598.958;1.846.354;1.693.665;39292800
11/01/2001;1.802.083;2.078.125;1.770.833;2.000.000;1.834.604;44764800
12/01/2001;2.033.854;2.156.250;1.937.500;1.958.333;1.796.383;66900000
16/01/2001;1.968.750;1.968.750;1.773.438;1.804.688;1.655.445;41498400
17/01/2001;1.942.708;2.000.000;1.861.979;1.869.792;1.715.164;59258400
18/01/2001;1.869.792;2.281.250;1.828.125;2.228.516;2.044.223;94816800
19/01/2001;2.291.667;2.375.000;2.135.417;2.169.271;1.989.878;101870400
22/01/2001;2.104.167;2.187.500;2.023.438;2.083.333;1.911.046;37771200
23/01/2001;2.057.292;2.333.333;2.046.875;2.291.016;2.101.554;43363200
24/01/2001;2.289.063;2.312.500;2.148.438;2.281.250;2.092.596;45172800
25/01/2001;2.203.125;2.208.333;2.005.208;2.052.083;1.882.381;44001600
26/01/2001;1.937.500;2.141.927;1.923.177;2.117.188;1.942.101;25924800
29/01/2001;2.052.083;2.130.208;1.979.167;2.127.604;1.951.656;35416800
30/01/2001;2.161.458;2.220.052;2.119.792;2.174.479;1.994.655;24372000
31/01/2001;2.177.083;2.260.417;2.104.167;2.151.042;1.973.155;35834400
01/02/2001;2.151.042;2.177.083;2.057.292;2.162.109;1.983.307;37185600
02/02/2001;2.164.063;2.213.542;1.937.500;1.953.125;1.791.605;32052000
05/02/2001;1.950.521;1.963.542;1.835.938;1.950.521;1.789.218;36758400
06/02/2001;1.914.063;2.000.000;1.909.505;1.960.938;1.798.773;25044000
07/02/2001;1.947.917;1.963.542;1.765.625;1.869.792;1.715.164;72038400
08/02/2001;1.880.208;1.986.979;1.851.563;1.859.375;1.705.608;38428800
09/02/2001;1.843.750;1.856.771;1.778.646;1.846.354;1.693.665;25960800
12/02/2001;1.825.521;1.846.354;1.708.333;1.796.875;1.648.277;35433600
13/02/2001;1.830.729;1.937.500;1.809.896;1.851.563;1.698.443;46773600
14/02/2001;1.828.125;2.041.667;1.750.000;1.986.979;1.822.660;69088800
15/02/2001;2.260.417;2.390.625;2.244.792;2.351.563;2.157.093;110851200
16/02/2001;2.231.771;2.541.667;2.229.167;2.479.167;2.274.145;108117600
20/02/2001;2.416.667;2.468.750;2.229.167;2.231.771;2.047.208;70130400
21/02/2001;2.148.438;2.427.083;2.125.000;2.333.333;2.140.371;64651200
22/02/2001;2.320.313;2.500.000;2.250.000;2.432.292;2.231.147;81530400
23/02/2001;2.419.271;2.458.333;2.187.500;2.264.323;2.077.068;103466400
26/02/2001;2.197.917;2.260.417;2.117.188;2.213.542;2.030.487;75182400
27/02/2001;2.158.854;2.244.792;2.067.708;2.080.729;1.908.657;53383200
28/02/2001;2.065.104;2.187.500;1.822.917;1.861.979;1.707.998;78405600
01/03/2001;1.838.542;2.041.667;1.666.667;2.009.115;1.842.966;91528800
02/03/2001;1.864.583;1.997.396;1.791.667;1.815.755;1.665.596;141350400
05/03/2001;1.744.792;1.880.208;1.734.375;1.833.333;1.681.720;74229600
06/03/2001;1.927.083;2.075.521;1.894.531;2.010.417;1.844.159;83440800
07/03/2001;2.054.688;2.177.083;2.018.229;2.171.875;1.992.265;93828000
08/03/2001;2.109.375;2.268.229;2.109.375;2.244.792;2.059.152;82934400
09/03/2001;2.127.604;2.138.021;1.890.625;2.085.938;1.913.435;121677600
12/03/2001;2.015.625;2.109.375;1.921.875;2.010.417;1.844.159;76214400
13/03/2001;2.036.458;2.281.250;2.026.042;2.250.000;2.063.930;108235200
14/03/2001;2.148.438;2.385.417;2.148.438;2.377.604;2.180.981;135112800
15/03/2001;2.523.438;2.655.599;2.432.292;2.494.792;2.288.479;187598400
16/03/2001;2.455.729;2.552.083;2.382.813;2.484.375;2.278.922;122520000
19/03/2001;2.471.354;2.645.833;2.336.589;2.627.604;2.410.306;94389600
20/03/2001;2.596.354;2.760.417;2.354.167;2.382.813;2.185.759;199056000
21/03/2001;2.388.021;2.630.208;2.375.000;2.559.896;2.348.198;187735200
22/03/2001;2.583.333;2.828.125;2.562.500;2.817.708;2.584.690;169776000
23/03/2001;2.869.792;2.921.875;2.651.042;2.791.667;2.560.803;150967200
26/03/2001;2.791.667;2.958.333;2.791.667;2.942.708;2.699.353;154296000
27/03/2001;2.885.417;2.986.979;2.713.542;2.835.938;2.601.412;170215200
28/03/2001;2.757.813;2.911.458;2.750.000;2.837.891;2.603.203;143328000
29/03/2001;2.813.151;2.979.167;2.755.208;2.880.208;2.642.021;163296000
30/03/2001;2.859.375;2.914.063;2.687.500;2.705.078;2.481.375;142317600
02/04/2001;2.697.917;2.763.021;2.557.292;2.591.146;2.376.864;126516000
03/04/2001;2.552.083;2.747.396;2.549.479;2.677.083;2.455.694;199161600
04/04/2001;2.575.521;2.580.729;2.242.188;2.401.042;2.202.481;336247200
05/04/2001;2.559.896;2.664.063;2.489.583;2.622.396;2.405.530;172476000
06/04/2001;2.588.542;2.750.000;2.544.271;2.611.979;2.395.974;154766400
09/04/2001;2.662.500;2.727.083;2.443.750;2.485.000;2.279.495;109716000
